uuid,first_name,last_name,birthday
d468b471-5d03-3ddd-9845-42fc1f05c5db,Vítor,Baptista,1993-10-05
d6221a93-e768-345b-9dee-d9b5b4b69bf8,Clara,Vicente,1973-07-20
2ded8890-379e-3149-97c2-2e2886bdeac6,Laura,Loureiro,1983-01-11
e01bea58-e7ba-3682-8445-c5c32784a182,Viviane,Pinheiro,2007-01-26
4f94f523-7cd9-3ce2-8f7d-444fc95d266f,Diego,Garcia,1994-12-22
6e29f923-99bb-3ba6-9e96-124321b58e7a,Salomé,Pinheiro,2011-10-03
4c490e23-d27b-33c5-8a80-aed89a05adb5,Rúben,Moura,1995-07-29
5ebd3ad9-15ee-35b7-86e1-3a50bac72b1a,Isabela,Amorim,1979-03-07
ed5217ca-0dc7-3fde-8cb8-94edaff34297,Violeta,Correia,1996-12-08
bfa9dee8-885f-3d75-b177-46d0d6896a99,Jaime,Assunção,1986-05-18
35f58412-db6e-3048-8473-b46d7120f04b,Alexandra,Moreira,1975-11-10
83e962dd-9b4b-32a5-b5e5-2f819af2e8e2,Mateus,Ramos,1992-08-09
3588e9ed-75ed-369b-80d4-dfab3e1fc8e0,Mia,Macedo,1999-12-28
f60e19f4-89ce-3551-ab35-d8f803b52036,Mariana,Andrade,2012-05-10
1159de05-37d3-35be-8327-1194c141a31d,Violeta,Ribeiro,1994-01-17
84471a26-3b95-383f-a12f-e299fe25c8cb,Leonardo,Rocha,1992-06-14
863100d0-dc89-34fa-b2f0-ad1787ecb7b9,Raquel,Maia,2007-08-07
54e9f7bb-9908-338f-b551-7773e27fc680,Nádia,Correia,2017-01-16
365dda15-afac-3973-9c3c-81e21b4a684a,Flávio,Moura,2006-04-17
a4be0e02-0e51-3ec8-8cfb-93df93321b09,Ângelo,Vaz,1980-07-07
7c7c7854-ec1c-355d-a796-075afed45d95,Lara,Pacheco,1986-06-16
8d238dc4-0da1-372e-b630-2ca95a54f5cf,Mário,Moura,1994-02-13
90bfe360-ad97-3343-8e18-62b1a3029dff,Benjamim,Lourenço,2003-04-17
2c1a4328-9306-303b-be7a-37ee69f9b492,Soraia,Anjos,2005-10-13
5797505c-9913-305b-a196-f286af4fa311,Vítor,Carvalho,1996-07-26
5c05535c-ac7d-33ab-9eec-9f6c59080ee1,Catarina,Guerreiro,1980-08-14
35640894-a23b-330d-a138-a42a829a6cce,Vanessa,Garcia,1997-07-15
4bf005f1-0c63-31fc-a1a0-88443ad9927e,Carlota,Fonseca,1987-08-21
